date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:14:16	12555/12555	---M-Z	200	added ('OK')	text/html	etag:%22310b-57701fe240780-gzip%22	https://arsem.com.ar/consorcios.html	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/consorcios.html	(from https://arsem.com.ar/)
10:14:17	12824/12824	---M-Z	200	added ('OK')	text/html	etag:%223218-57702059760c0-gzip%22	https://arsem.com.ar/planes-de-evacuacion.html	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/planes-de-evacuacion.html	(from https://arsem.com.ar/)
10:14:18	15084/15084	---M-Z	200	added ('OK')	text/html	etag:%223aec-5770203dcdf80-gzip%22	https://arsem.com.ar/medio-ambiente.html	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/medio-ambiente.html	(from https://arsem.com.ar/)
10:14:19	34038/34038	---M-Z	200	added ('OK')	text/html	etag:%2284f6-57701fc880ac0-gzip%22	https://arsem.com.ar/clientes.html	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/clientes.html	(from https://arsem.com.ar/)
10:14:20	14044/14044	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Jan%202020%2013:14:20%20GMT	https://arsem.com.ar/contacto.php	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/contacto.html	(from https://arsem.com.ar/)
10:14:22	131705/131705	---M--	200	added ('OK')	image/jpeg	etag:%2220279-5386c05b625c0%22	https://arsem.com.ar/images/slider1.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/slider1.jpg	(from https://arsem.com.ar/)
10:14:23	357258/357258	---M--	200	added ('OK')	image/jpeg	etag:%225738a-5386c05e3ec80%22	https://arsem.com.ar/images/slider2.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/slider2.jpg	(from https://arsem.com.ar/)
10:14:25	145072/145072	---M--	200	added ('OK')	image/jpeg	etag:%22236b0-5386c063037c0%22	https://arsem.com.ar/images/slider4.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/slider4.jpg	(from https://arsem.com.ar/)
10:14:26	203897/203897	---M--	200	added ('OK')	image/jpeg	etag:%2231c79-5386c068bc540%22	https://arsem.com.ar/images/slider5.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/slider5.jpg	(from https://arsem.com.ar/)
10:14:26	1707705/1707705	---M--	200	added ('OK')	image/jpeg	etag:%221a0eb9-5386c06027100%22	https://arsem.com.ar/images/slider3.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/slider3.jpg	(from https://arsem.com.ar/)
10:14:26	50238/50238	---M--	200	added ('OK')	image/jpeg	etag:%22c43e-52ad39b44d9c0%22	https://arsem.com.ar/images/higiene-y-seguridad.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/higiene-y-seguridad.jpg	(from https://arsem.com.ar/)
10:14:27	56350/56350	---M--	200	added ('OK')	image/jpeg	etag:%22dc1e-52ad39ba06740%22	https://arsem.com.ar/images/seguridad-en-la-construccion.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/seguridad-en-la-construccion.jpg	(from https://arsem.com.ar/)
10:14:28	98558/98558	---M--	200	added ('OK')	image/jpeg	etag:%22180fe-52ad39a8dbec0%22	https://arsem.com.ar/images/consorcios.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/consorcios.jpg	(from https://arsem.com.ar/)
10:14:29	67194/67194	---M--	200	added ('OK')	image/jpeg	etag:%221067a-52ad39b81e2c0%22	https://arsem.com.ar/images/planes-de-evacuacion.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/planes-de-evacuacion.jpg	(from https://arsem.com.ar/)
10:14:30	69526/69526	---M--	200	added ('OK')	image/jpeg	etag:%2210f96-52ad39b635e40%22	https://arsem.com.ar/images/medio-ambiente.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/medio-ambiente.jpg	(from https://arsem.com.ar/)
10:14:31	58699/58699	---M--	200	added ('OK')	image/jpeg	etag:%22e54b-52ad39ba06740%22	https://arsem.com.ar/images/seguridad-en-la-construccion-big.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/seguridad-en-la-construccion-big.jpg	(from https://arsem.com.ar/)
10:14:32	95785/95785	---M-Z	200	added ('OK')	application/javascript	etag:%2217629-53400f85c5bc0-gzip%22	https://arsem.com.ar/js/jquery.js	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/js/jquery.js	(from https://arsem.com.ar/)
10:14:33	36868/36868	---M-Z	200	added ('OK')	application/javascript	etag:%229004-53400f800ce40-gzip%22	https://arsem.com.ar/js/bootstrap.min.js	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/js/bootstrap.min.js	(from https://arsem.com.ar/)
10:14:34	789/789	---M-Z	200	added ('OK')	application/javascript	etag:%22315-53400f7f18c00-gzip%22	https://arsem.com.ar/js/agency.js	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/js/agency.js	(from https://arsem.com.ar/)
10:14:35	1411/1411	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22583-5865e70ae1dfb%22	https://arsem.com.ar/dist/js/bind-polyfill.js	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/dist/js/bind-polyfill.js	(from https://arsem.com.ar/)
10:14:36	15400/15400	---M-Z	200	added ('OK')	application/javascript	etag:%223c28-52ad3a2e5f9c0-gzip%22	https://arsem.com.ar/dist/js/smooth-scroll.js	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/dist/js/smooth-scroll.js	(from https://arsem.com.ar/)
10:14:37	5555/5555	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd497a-15b3%22	http://cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.3/jquery.easing.min.js	/home/sj/Desktop/sanjoseconsultora/cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.3/jquery.easing.min.js	(from https://arsem.com.ar/)
10:14:38	1835/1835	---M-Z	200	added ('OK')	application/javascript	etag:%2272b-53400f8101080-gzip%22	https://arsem.com.ar/js/classie.js	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/js/classie.js	(from https://arsem.com.ar/)
10:14:39	875/875	---M-Z	200	added ('OK')	application/javascript	etag:%2236b-53400f800ce40-gzip%22	https://arsem.com.ar/js/cbpAnimatedHeader.js	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/js/cbpAnimatedHeader.js	(from https://arsem.com.ar/)
10:14:40	5564/5564	---M-Z	200	added ('OK')	application/javascript	etag:%2215bc-53400f82e9500-gzip%22	https://arsem.com.ar/js/jquery.easing.min.js	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/js/jquery.easing.min.js	(from https://arsem.com.ar/)
